filename,slice_index,notes
priority_1_sqc_full_pull/mouse1/anatomical/031_15671_UF_CW_anatomical_data.nii.gz,1,
priority_1_sqc_full_pull/mouse1/anatomical/031_15671_UF_CW_anatomical_data.nii.gz,4,
priority_1_sqc_full_pull/mouse1/anatomical/031_15671_UF_CW_anatomical_data.nii.gz,5,
priority_1_sqc_full_pull/mouse1/anatomical/031_15671_UF_CW_anatomical_data.nii.gz,6,
